,Item Name,Item Level,Item Quality,Experience,Indexed,Stash Name,Account Name,Player Status,Price Amount,Currency
0,Awakened Multistrike Support,5 (Max),+13%,,2024-02-20T18:50:08Z,$ Sell $,SirNaseweiß,,151,divine
1,Awakened Multistrike Support,1,+9%,1/407097645,2024-02-20T18:05:37Z,Trade valuables 2,Aeneon1997,,170,divine
2,Awakened Multistrike Support,1,,1/407097645,2024-02-20T20:11:23Z,shop,joylan22,,170,divine
3,Awakened Multistrike Support,1,,1/407097645,2024-02-20T20:11:23Z,shop,joylan22,,170,divine
4,Awakened Multistrike Support,1,,1/407097645,2024-02-20T18:14:35Z,Drops_X,LordMeritH,,175,divine
5,Awakened Multistrike Support,5 (Max),+20%,,2024-02-20T20:02:47Z,화폐,DDaBong_K,,179,divine
6,Awakened Multistrike Support,5 (Max),+17%,,2024-02-19T02:02:51Z,LS BUILD,tanakapoa,afk,180,divine
7,Awakened Multistrike Support,5 (Max),+20%,,2024-02-20T08:11:21Z,麥冬C2,qwer26987,,180,divine
8,Awakened Multistrike Support,5 (Max),+20%,,2024-02-20T19:51:28Z,Shales,bohipply,,180,divine
9,Awakened Multistrike Support,5 (Max),+20%,,2024-02-20T16:19:40Z,DIVINE ,CyhozKT,,180,divine
