,Item Name,Item Level,Item Quality,Corrupted,Experience,Indexed,Stash Name,Account Name,Player Status,Price Amount,Currency
0,Awakened Spell Echo Support,4,+20%,True,184831555/541846966,2024-01-14T06:13:09Z,lixo,nerfgegege,,11.0,divine
1,Awakened Spell Echo Support,5 (Max),+12%,True,,2024-02-18T17:23:43Z,$$$,Yorik89,,16.0,divine
2,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-21T22:10:58Z,1,hoangphitun,,17.0,divine
3,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-22T11:35:23Z,still,Sa1l8084,,17.0,divine
4,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-19T10:50:24Z,--,하얀비소리,,18.0,divine
5,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-22T13:20:29Z,판매,smic97,,18.0,divine
6,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-19T11:11:10Z,MINI SHOP,verinar,,18.9,divine
7,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-22T07:45:44Z,冰霜報,ym910235,,19.0,divine
8,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-15T11:08:27Z,S> SET,KTNGAHN,,20.0,divine
9,Awakened Spell Echo Support,5 (Max),+20%,True,,2024-02-21T02:26:31Z,1,acdl87,,20.0,divine
